date, pm25, pm10, o3, no2, so2, co
2023/5/12, 88, 35, 56, 15, 2, 4
2023/5/13, 70, 19, 55, 13, 2, 3
2023/5/14, 44, 34, 75, 19, 3, 3
2023/5/15, 64, 53, 96, 19, 3, 4
2023/5/16, 93, 35, 45, 12, 2, 4
2023/5/17, 54, 32, 37, 13, , 3
2023/5/18, 61, 19, 38, 11, 2, 3
2023/5/19, 43, 21, 50, 12, 3, 3
2023/5/20, 48, 61, 41, 9, 2, 3
2023/5/21, 80, 90, 39, 13, 2, 4
2023/5/22, 108, 49, 39, 14, 4, 3
2023/5/23, 62, 36, 57, 22, 4, 4
2023/5/24, 59, 31, 53, 15, 2, 3
2023/5/25, 52, 30, 64, 13, 2, 3
2023/5/26, 53, 25, 21, 18, 2, 4
2023/5/27, 55, 9, 21, 10, 2, 3
2023/5/28, 20, 13, 32, 12, 2, 3
2023/5/29, 24, 33, 35, 13, 3, 4
2023/5/30, 67, 27, 56, 14, 2, 3
2023/5/31, 51, 34, 61, 14, 2, 4
2023/6/1, 68, 30, 39, 10, 2, 4
2023/6/2, 61, 32, 55, 12, 3, 4
2023/6/3, 49, 40, 72, 10, 3, 4
2023/6/4, 61, 33, 52, 13, 2, 3
2023/6/5, 55, 22, 52, 7, 2, 3
2023/6/6, 42, 38, 44, 15, 3, 4
2023/6/7, 70, 23, 34, 13, 2, 4
2023/6/8, 48, 20, 63, 16, 2, 4
2023/6/9, 43, 34, 75, 17, 2, 5
2023/6/10, 68, 18, 50, 7, 2, 4
2023/6/11, 45, 28, 54, 16, 2, 4
2023/6/12, 62, 27, 55, 13, 2, 4
2023/6/13, 56, 29, 53, 17, 2, 4
2023/6/14, 66, 26, 55, 14, 2, 4
2023/6/15, 60, 28, 52, 14, 2, 4
2023/6/16, 60, 18, 62, 15, 2, 4
2023/6/17, 42, 26, 56, 12, 2, 4
2023/6/18, 52, 43, 84, 16, 4, 5
2023/6/19, 80, 35, 39, 19, 5, 5
2023/6/20, 70, 9, 22, 9, 3, 4
2023/6/21, 17, 15, 32, 10, 3, 4
2023/6/22, 29, 28, 65, 16, 3, 6
2023/6/23, 62, 36, 92, 14, , 5
2023/6/24, 79, 29, 57, 10, 3, 5
2023/6/25, 69, 15, 32, 12, 3, 5
2023/6/26, 39, 17, 57, 10, 3, 4
2023/6/27, 41, 29, 55, 12, 3, 5
2023/6/28, 70, 27, 40, 14, 3, 5
2023/6/29, 64, 31, 60, 14, 3, 5
2023/6/30, 74, 24, 56, 11, 4, 4
2023/1/2, 39, 25, 17, 29, 5, 7
2023/1/3, 61, 28, 20, 40, 6, 9
2023/1/4, 69, 42, 7, 51, 6, 11
2023/1/5, 98, 57, 10, 48, 5, 10
2023/1/6, 134, 83, 26, 29, 4, 9
2023/1/7, 168, 91, 14, 35, 4, 8
2023/1/8, 152, 71, 23, 31, 4, 6
2023/1/9, 118, 52, 14, 39, 4, 7
2023/1/10, 94, 56, 7, 57, 5, 11
2023/1/11, 115, 53, 10, 54, 5, 10
2023/1/12, 115, 21, 9, 37, 4, 8
2023/1/13, 53, 15, 20, 26, 3, 7
2023/1/14, 63, 13, 20, 14, 2, 4
2023/1/16, 49, 29, 15, 31, 4, 6
2023/1/17, 59, 47, 22, 30, 4, 7
2023/1/18, 78, 55, 19, 36, 4, 7
2023/1/19, 83, 49, 22, 13, 4, 4
2023/1/20, 57, 24, 17, 23, 4, 5
2023/1/21, 47, 26, 17, 25, 4, 5
2023/1/22, 54, 47, 26, 26, 4, 7
2023/1/23, 91, 28, 24, 6, 4, 4
2023/1/24, 40, 19, 22, 22, 4, 6
2023/1/25, 37, 29, 13, 33, 4, 6
2023/1/26, 67, 36, 22, 19, 4, 6
2023/1/27, 63, 36, 22, 17, 4, 4
2023/1/28, 49, 41, 22, 24, 4, 6
2023/1/29, 58, 40, 23, 25, , 6
2023/1/30, 55, 39, 25, 35, 4, 7
2023/1/31, 64, 53, 26, 22, 4, 7
2023/2/1, 102, 37, 19, 20, 4, 5
2023/2/2, 57, 36, 20, 22, 4, 5
2023/2/3, 63, 35, 22, 31, 5, 7
2023/2/4, 75, 57, 31, 40, 5, 10
2023/2/5, 134, 63, 27, 45, 5, 12
2023/2/6, 151, 61, 20, 44, 4, 10
2023/2/7, 146, 54, 26, 38, 4, 11
2023/2/8, 120, 34, 22, 29, 4, 4
2023/2/9, 72, 21, 24, 20, 3, 3
2023/2/10, 59, 40, 17, 39, 3, 6
2023/2/11, 97, 57, 26, 31, , 8
2023/2/12, 144, 31, 25, 22, 2, 5
2023/2/13, 74, 32, 26, 18, 3, 5
2023/2/14, 71, 15, 26, 20, 3, 4
2023/2/15, 37, 26, 25, 25, , 4
2023/2/16, 64, 44, 18, 41, 4, 6
2023/2/17, 98, 67, 7, 49, 4, 9
2023/2/18, 156, 42, 30, 18, 4, 4
2023/2/19, 91, 37, 28, 13, 4, 3
2023/2/20, 35, 27, 24, 21, 4, 3
2023/2/21, 53, 40, 21, 38, 5, 5
2023/2/22, 79, 39, 30, 27, 4, 4
2023/2/23, 77, 45, 32, 20, 4, 4
2023/2/24, 82, 34, 30, 16, 5, 4
2023/2/25, 62, 35, 30, 21, , 5
2023/2/26, 68, 44, 23, 42, 5, 7
2023/2/27, 91, 35, 29, 37, 5, 7
2023/2/28, 76, 34, 35, 18, , 4
2023/3/1, 60, 47, 29, 14, 4, 5
2023/3/2, 43, 38, 28, 30, 4, 5
2023/3/3, 59, 62, 31, 36, 4, 7
2023/3/4, 120, 59, 46, 35, 4, 8
2023/3/5, 124, 52, 41, 47, 5, 7
2023/3/6, 94, 56, 41, 41, 4, 7
2023/3/7, 99, 58, 40, 45, 4, 8
2023/3/8, 102, 57, 33, 36, , 7
2023/3/9, 120, 74, 42, 35, 4, 8
2023/3/10, 139, 75, 57, 41, 4, 8
2023/3/11, 126, 47, 42, 15, 3, 6
2023/3/12, 76, 33, 27, 13, , 3
2023/3/13, 32, 38, 34, 24, , 4
2023/3/14, 42, 40, 29, 29, 4, 6
2023/3/15, 53, 52, 29, 14, , 4
2023/3/16, 46, 38, 25, 21, 4, 5
2023/3/17, 54, 52, 36, 26, 5, 6
2023/3/18, 83, 69, 44, 25, 5, 8
2023/3/19, 136, 65, 37, 43, 4, 9
2023/3/20, 131, 48, 49, 46, 4, 7
2023/3/21, 91, 52, 48, 44, 4, 7
2023/3/22, 94, 63, 45, 20, 4, 3
2023/3/23, 89, 100, 25, 20, 4, 4
2023/3/24, 95, 73, 32, 17, 4, 5
2023/3/25, 88, 51, 36, 10, 4, 5
2023/3/26, 52, 45, 39, 18, 4, 5
2023/3/27, 67, 60, 41, 29, 4, 4
2023/3/28, 88, 65, 42, 32, 4, 5
2023/3/29, 101, 60, 62, 35, 4, 6
2023/3/30, 100, 73, 62, 37, 4, 6
2023/3/31, 121, 64, 77, 37, 4, 5
2022/10/1, 94, 30, 32, 20, , 4
2022/10/2, 71, 11, 25, 15, , 4
